monthly_income,rent,food,emi,transport,subscriptions,savings,emergency_fund_months,dependents,health_label
2402,641,407,472,161,25,2,10,3,At Risk
10375,2403,1208,1370,580,427,175,10,3,At Risk
4008,1125,932,484,183,138,1583,6,2,Stable
1998,680,240,311,102,25,757,8,4,Stable
6886,1761,781,879,332,210,1287,6,4,Stable
3158,971,772,800,144,50,1237,10,4,At Risk
7971,2396,1470,2085,602,235,1497,7,4,Critical
4664,1559,1044,103,252,228,554,3,1,Stable
2732,526,465,48,252,75,133,10,3,Stable
1892,596,312,163,128,32,565,6,2,Stable
9722,3218,2301,251,644,120,3291,6,4,Stable
1522,347,378,246,144,17,608,1,1,Stable
3135,667,604,19,286,48,289,9,1,Stable
8551,2910,2032,2013,273,113,3100,3,4,Critical
12310,3391,2824,2396,893,126,59,3,2,At Risk
2512,568,456,159,182,58,316,3,4,Stable
2096,646,505,207,198,46,642,1,0,Stable
3478,733,457,318,278,153,484,1,0,Stable
3162,585,735,875,193,45,630,9,3,At Risk
7344,1900,1075,1954,248,285,888,6,2,At Risk
10014,2636,1047,1695,360,437,1066,5,2,Stable
3887,1224,847,424,243,65,666,5,2,At Risk
7269,1754,1740,1006,718,103,742,5,4,At Risk
1445,452,191,246,143,23,177,3,1,At Risk
5332,1131,960,787,338,58,69,1,3,At Risk
4253,1127,903,79,390,80,1067,11,1,Stable
2338,448,350,324,104,64,787,0,0,Stable
2957,671,360,816,153,29,718,9,3,Stable
1858,597,295,227,105,72,478,11,3,Stable
3073,593,517,646,242,31,1146,11,0,Stable
2607,813,550,779,228,99,749,1,1,At Risk
1441,297,187,238,82,36,266,9,0,Stable
2834,444,629,411,177,48,955,1,3,Stable
7692,1322,1348,622,270,315,2066,10,3,Stable
1280,382,301,88,63,51,434,9,2,Stable
2680,542,495,446,231,58,102,1,4,At Risk
7602,2134,1269,1542,250,220,2212,0,0,At Risk
3693,1070,528,474,306,130,751,11,0,Stable
1674,366,194,0,109,49,50,0,2,At Risk
2661,651,414,447,130,73,945,0,4,Stable
9518,2196,1542,1632,597,213,2594,10,2,Stable
10779,3659,1996,236,663,446,2979,0,3,Stable
2064,441,472,62,202,35,231,5,0,Stable
10004,1867,1696,914,792,359,1112,2,0,Stable
3759,838,553,674,221,101,1345,0,1,Stable
2460,698,568,130,234,107,163,3,0,At Risk
2025,586,425,209,191,88,582,1,4,Stable
4106,1374,599,181,270,154,1633,1,3,Stable
3234,1055,404,325,309,134,820,4,2,Stable
8008,1662,1150,1749,584,290,2112,4,0,Stable
3061,737,362,343,247,37,492,1,0,Stable
1812,542,426,444,113,60,394,0,2,At Risk
3553,1184,681,988,261,86,564,1,2,At Risk
1833,398,420,168,105,54,107,6,1,At Risk
3741,893,834,697,153,44,782,3,2,Stable
11589,3823,1425,912,636,507,3460,4,3,Stable
3059,678,509,522,175,142,503,4,0,Stable
3372,829,828,120,284,148,567,1,3,Stable
5367,1775,724,969,311,179,2124,1,3,Stable
8735,2711,939,452,551,375,79,4,2,Stable
3698,734,561,436,307,109,576,11,2,Stable
11969,2572,2114,849,807,501,245,1,0,Stable
10715,2363,1161,2557,579,313,1694,9,2,At Risk
3859,1283,632,210,117,171,1255,9,2,Stable
2769,968,382,800,227,63,460,8,0,At Risk
4369,1331,575,156,412,210,389,11,4,At Risk
3180,785,443,394,96,37,632,5,0,Stable
4448,676,515,1025,341,141,252,5,3,At Risk
1703,493,189,59,112,52,348,1,1,Stable
7958,1813,1507,750,701,279,102,4,3,At Risk
1786,494,432,242,74,54,498,3,0,Stable
1866,506,411,426,102,65,661,11,3,At Risk
11564,2846,2602,2731,423,550,3370,6,4,At Risk
7788,2639,1637,1998,381,165,1809,10,2,At Risk
9872,1526,2402,907,627,384,1234,9,3,Stable
2685,785,651,12,253,88,782,1,2,Stable
3523,817,763,760,157,121,1363,4,3,Stable
3011,881,624,156,235,85,733,8,4,Stable
1511,430,220,176,120,37,82,1,2,At Risk
8277,1258,940,1998,317,213,1526,5,3,At Risk
2999,620,341,549,294,76,1032,7,1,Stable
1513,284,318,396,63,69,580,2,4,At Risk
1479,271,154,289,50,71,177,3,2,Stable
3397,1004,755,389,331,146,1206,11,1,At Risk
4236,838,656,42,238,68,657,2,3,Stable
3622,887,466,16,181,78,1253,9,0,Stable
2253,449,363,170,113,42,341,7,4,Stable
3256,866,669,631,100,130,625,6,3,At Risk
1471,432,207,315,113,15,46,4,4,Critical
3127,676,394,322,260,95,526,5,1,Stable
2894,783,609,734,176,105,64,8,2,Critical
2814,886,653,796,126,56,623,10,2,At Risk
2317,391,435,207,142,103,462,6,2,Stable
10978,3207,1960,1158,1053,168,2599,7,4,Stable
4085,876,871,496,168,121,1250,9,4,Stable
1886,329,395,157,65,48,278,5,0,Stable
1942,503,196,376,106,56,56,8,0,At Risk
2935,573,417,800,274,109,390,3,3,At Risk
1490,468,357,191,83,36,501,8,3,At Risk
5876,931,1433,317,473,199,1385,0,2,Stable
1718,291,303,100,56,24,176,2,3,Stable
5121,1301,942,1108,275,77,1903,1,4,At Risk
2102,562,210,462,149,28,144,9,4,At Risk
2791,826,560,398,184,82,380,1,1,At Risk
9464,1910,1247,2159,650,462,25,0,4,Critical
3258,1037,388,499,194,49,10,0,4,At Risk
2656,904,386,242,193,88,516,6,4,Stable
3701,924,739,154,325,84,513,1,0,Stable
1281,386,211,198,45,49,456,2,2,Stable
2030,517,309,509,116,25,799,5,1,Stable
4165,682,870,1156,335,107,753,9,0,At Risk
3221,693,715,58,274,67,241,4,1,At Risk
9299,1557,2142,2562,684,177,2041,2,3,At Risk
1304,453,217,69,74,46,244,5,2,Stable
3024,592,628,548,146,104,1199,7,1,Stable
3488,966,811,457,225,90,1051,11,2,Stable
3846,795,908,808,208,117,780,0,3,At Risk
2609,732,453,414,201,55,642,9,4,Stable
2161,415,331,252,172,60,221,0,4,At Risk
1516,465,356,32,101,62,375,3,3,Stable
2693,463,374,21,232,58,602,9,1,Stable
1977,650,434,140,76,42,286,9,1,Stable
1733,551,409,387,159,61,525,5,3,Critical
2826,807,596,523,109,121,922,4,4,Stable
1350,220,272,169,105,57,268,0,3,At Risk
2669,511,287,428,154,67,491,6,1,Stable
4417,1421,576,782,270,57,993,7,3,Stable
1958,341,391,41,185,34,465,4,4,Stable
2958,535,644,286,198,49,596,4,4,Stable
2625,679,287,692,107,42,492,8,1,At Risk
9376,1920,964,2062,746,454,1990,10,0,Stable
4716,916,691,122,431,115,1642,1,0,Stable
3312,878,651,274,313,110,1283,5,3,Stable
1556,349,275,94,90,42,364,11,3,Stable
2371,422,240,271,206,110,520,9,3,Stable
2379,611,292,701,192,94,724,5,1,Stable
6545,1488,1392,1133,607,254,2076,6,4,Stable
4738,1406,685,224,388,134,879,7,2,Stable
3231,551,379,761,288,128,970,6,1,Stable
2436,667,262,428,144,102,212,10,1,At Risk
3632,861,826,939,232,179,566,9,4,Critical
1394,322,238,203,62,21,406,6,3,Stable
3111,611,546,831,234,115,995,10,0,Stable
4161,649,454,1068,158,74,1027,11,0,Stable
2284,729,395,43,112,80,373,4,1,Stable
3730,803,734,922,299,73,1246,11,1,Stable
1889,540,223,66,176,24,380,5,0,Stable
2355,799,554,77,202,95,903,10,1,Stable
2192,576,476,105,153,56,798,2,1,Stable
9147,2098,2014,2525,871,181,496,10,0,Critical
1991,405,359,295,148,82,318,2,0,Stable
2856,961,428,275,128,74,737,9,2,Stable
2882,825,565,47,173,54,352,2,2,Stable
3356,949,449,117,304,117,585,10,4,Stable
2409,566,290,136,228,45,530,10,3,Stable
1889,602,341,105,177,91,549,5,4,Stable
12186,3567,2093,294,401,370,1329,6,4,Stable
3820,789,468,92,286,173,697,8,4,Stable
2782,750,499,248,180,35,981,2,2,Stable
3913,923,712,642,239,105,1508,3,1,Stable
1643,248,379,282,57,17,241,2,2,Stable
3683,1147,787,318,209,117,1086,1,3,Stable
3431,598,455,82,214,81,422,0,1,Stable
1338,337,297,244,68,53,326,4,0,Stable
3531,767,866,695,298,45,180,5,2,At Risk
1409,307,292,295,62,39,287,0,0,At Risk
2038,500,444,567,114,42,255,7,2,At Risk
2143,748,299,23,141,53,607,0,0,Stable
5356,1240,1332,338,361,200,813,7,1,Stable
3317,618,419,569,134,66,181,0,3,At Risk
6049,1649,1286,18,210,257,1633,9,1,Stable
1870,368,297,28,171,35,740,10,4,Stable
1345,230,206,158,52,46,351,11,1,Stable
2936,469,419,506,220,104,294,2,2,Stable
1367,211,227,279,109,30,70,6,3,At Risk
1781,420,389,132,151,49,646,6,0,Stable
3497,823,843,651,127,53,487,4,0,At Risk
12422,2324,2017,1375,632,331,4548,4,0,Stable
1553,476,307,259,67,56,407,10,3,Stable
2744,482,598,551,91,77,555,10,3,Stable
3909,1301,449,294,288,118,523,9,1,Stable
2028,542,494,218,82,44,368,5,1,At Risk
3327,517,438,552,143,159,290,7,1,At Risk
3216,1101,763,223,193,62,806,11,1,Stable
1360,287,337,383,52,15,312,9,0,Stable
2813,675,323,610,208,111,784,4,2,Stable
2885,596,674,543,244,132,499,6,4,At Risk
11841,3501,2322,2590,858,243,4297,4,3,At Risk
2255,557,502,158,134,63,799,10,3,Stable
3885,685,452,7,342,90,608,11,1,Stable
3496,597,787,678,303,152,1260,8,3,Stable
4428,1306,858,1281,414,101,336,4,4,Critical
11066,2184,1954,2186,1033,142,2271,5,1,Stable
1977,351,363,103,171,75,356,5,1,Stable
9348,2335,1978,2407,650,436,502,9,2,Critical
2421,751,350,420,75,105,292,8,3,Stable
9924,2041,2396,1838,801,323,636,10,3,At Risk
6592,1353,963,1015,420,186,17,5,0,At Risk
2350,744,544,517,84,38,574,10,4,At Risk
2798,502,284,805,226,65,279,1,0,Critical
11155,3049,2649,1254,654,340,2192,8,3,At Risk
2066,704,470,360,114,22,239,11,2,At Risk
11488,3656,1362,2943,994,162,168,3,4,Critical
1583,257,333,417,79,50,605,0,4,At Risk
1639,350,255,404,80,38,614,6,1,Stable
2421,432,416,407,112,55,426,5,4,Stable
1768,600,194,496,84,50,405,5,0,Stable
2537,880,334,129,176,47,50,9,0,At Risk
1951,384,474,118,169,34,528,4,1,Stable
3242,920,527,211,315,53,109,1,2,At Risk
3719,1183,386,448,113,126,528,10,3,Stable
3641,716,645,728,166,37,343,5,3,At Risk
3786,710,943,477,237,87,1,0,2,At Risk
2454,373,367,699,243,113,467,3,4,At Risk
3765,874,456,271,340,178,1107,7,4,Stable
3263,1076,641,797,170,59,134,10,1,Critical
7992,2642,1901,1875,430,96,3064,0,2,Critical
1423,249,325,141,45,21,247,0,3,Stable
3779,721,750,533,305,110,826,7,0,Stable
2256,522,287,515,189,60,381,0,4,At Risk
6148,1882,1338,1575,285,207,1838,4,0,At Risk
3199,871,714,654,280,156,1269,0,1,At Risk
1526,385,347,422,100,64,362,7,1,At Risk
2278,611,365,423,142,29,743,2,3,Stable
1750,296,282,213,103,26,617,1,3,Stable
2083,511,256,389,149,36,414,9,0,Stable
4124,1436,890,757,284,82,753,10,3,At Risk
8070,1353,1699,1337,650,96,3073,2,3,Stable
2920,741,335,268,184,127,181,11,3,Stable
3041,635,313,608,141,140,191,6,0,At Risk
1801,464,437,432,72,57,291,1,4,Critical
10202,2701,1046,2934,446,469,164,1,2,Critical
3860,1024,749,576,208,176,916,8,3,Stable
4066,1302,683,917,389,89,1103,6,1,At Risk
2510,572,543,603,197,70,58,2,1,Critical
4014,1016,454,811,238,74,1475,11,2,Stable
1415,215,286,160,58,70,350,6,4,Stable
4089,1259,786,878,332,136,753,0,4,Critical
2289,462,521,671,136,90,790,8,1,Stable
11830,3706,2103,2152,992,570,3952,3,0,Stable
2224,451,465,492,194,27,349,2,4,At Risk
5451,829,902,387,387,138,693,10,4,Stable
3778,683,935,742,328,94,435,4,4,At Risk
9238,3206,1698,94,651,265,2511,1,4,Stable
1419,303,302,353,92,28,97,7,1,At Risk
2043,350,232,135,170,39,775,1,1,Stable
3021,524,511,59,178,110,137,7,4,Stable
2249,476,246,119,165,90,472,0,1,Stable
10218,1609,1208,1440,581,183,468,6,1,At Risk
4262,1075,749,54,407,131,1668,8,2,Stable
3149,606,481,32,250,36,966,7,4,Stable
2615,663,441,400,237,73,760,6,4,Stable
7017,1250,1223,1196,469,180,1323,6,3,Stable
3592,847,445,343,330,102,129,11,2,Stable
3253,876,503,16,223,43,415,5,1,Stable
11051,1794,2531,1523,915,313,830,1,4,At Risk
3039,698,694,837,249,127,94,1,0,Critical
2438,513,423,354,88,84,201,10,1,At Risk
1653,327,351,224,92,47,183,10,2,Stable
2286,619,486,383,226,83,579,10,4,Stable
2213,592,235,109,99,30,629,10,1,Stable
1662,458,318,400,91,18,636,3,3,At Risk
3982,723,878,39,392,183,1479,7,0,Stable
11372,2355,2150,192,604,556,2975,4,4,Stable
1429,274,258,24,125,61,36,1,1,Stable
3659,944,657,870,221,87,997,10,4,Stable
1918,464,337,211,182,71,710,2,1,Stable
2906,627,629,560,209,63,847,10,3,Stable
3885,1193,762,92,380,49,1144,4,2,Stable
7327,1236,969,1676,276,188,167,4,4,At Risk
2669,920,440,268,130,28,92,4,0,At Risk
7051,1222,1264,455,506,127,1228,8,2,Stable
8206,2499,1336,1759,311,94,969,6,2,At Risk
2135,477,289,41,174,69,590,9,4,Stable
2914,941,345,425,277,110,121,10,2,At Risk
1567,258,184,180,116,58,598,3,1,Stable
4089,919,590,909,323,94,1019,1,3,At Risk
3530,766,566,676,144,48,824,4,3,Stable
8420,2935,1704,2252,629,263,1649,6,2,Critical
9374,3253,2322,2043,566,106,809,8,1,Critical
6811,1280,1597,849,563,147,1566,9,2,Stable
1899,524,421,105,97,76,422,7,2,Stable
4748,1220,1054,641,363,169,1537,0,3,At Risk
4153,751,786,208,147,54,1281,10,3,Stable
1471,270,202,50,76,72,373,1,0,Stable
1594,554,272,23,114,45,273,1,1,Stable
3702,890,449,602,259,129,672,6,0,Stable
1540,269,284,261,109,67,447,10,0,Stable
3522,679,364,692,220,112,711,2,1,Stable
2974,605,381,791,215,64,608,7,3,Stable
2691,678,556,737,133,125,1055,3,2,At Risk
2882,625,407,294,176,120,806,7,4,Stable
2841,684,463,542,116,117,1121,4,3,Stable
2238,410,503,310,122,37,201,9,1,At Risk
10878,2342,1160,2456,828,508,1163,6,4,At Risk
1657,271,171,356,115,25,306,10,3,At Risk
3345,1096,449,196,108,61,1174,2,0,Stable
2076,393,420,108,164,102,37,4,4,Stable
7848,2365,1062,268,563,282,1127,10,0,Stable
3077,676,706,113,176,137,220,4,1,At Risk
3595,880,549,265,258,106,1386,8,1,Stable
2281,475,325,239,77,63,907,2,2,Stable
11423,3304,1541,2127,944,164,3155,2,4,Stable
2338,745,435,523,169,65,52,6,0,Critical
4280,887,977,178,200,149,1242,9,4,Stable
4337,860,697,328,137,199,528,5,2,Stable
3123,894,430,554,233,138,974,6,2,Stable
3388,640,552,770,307,140,468,1,2,At Risk
6914,1921,1629,1702,262,194,1607,1,4,At Risk
2515,424,377,289,233,35,497,2,1,Stable
2891,792,573,386,256,33,536,9,3,At Risk
2755,696,411,560,174,33,258,11,3,At Risk
10584,1828,2129,883,604,292,2741,9,2,Stable
2157,603,500,53,100,74,853,3,4,Stable
3244,776,615,431,111,68,1089,6,2,Stable
4136,799,1001,1222,203,62,1448,5,3,Stable
6221,1372,1183,697,543,186,1089,0,0,At Risk
3161,785,778,282,201,36,856,8,1,Stable
9068,1526,1891,2237,299,281,2133,0,1,At Risk
1827,623,361,503,121,39,114,8,4,Critical
12105,3427,2717,2835,983,596,3889,11,2,At Risk
2884,491,293,453,238,56,548,5,3,Stable
3904,1228,541,1040,349,70,196,5,4,Critical
10403,2231,1377,1840,836,137,212,1,4,At Risk
2628,707,306,232,80,85,720,2,3,Stable
1368,281,329,384,80,58,433,9,0,At Risk
4311,1278,515,849,230,153,543,9,2,Stable
2133,628,297,85,131,90,363,5,4,Stable
2262,589,339,227,193,55,389,7,1,Stable
2566,508,497,507,83,71,217,1,4,At Risk
2825,567,607,709,217,137,65,7,0,At Risk
3703,838,706,1098,216,88,1422,5,3,Stable
5582,999,1185,339,557,193,659,6,3,Stable
3494,760,560,844,176,105,963,11,4,Stable
3005,862,749,106,193,47,190,1,2,At Risk
2377,751,298,485,228,105,673,9,3,At Risk
4107,889,656,131,170,68,1423,0,1,Stable
11751,2311,2641,1975,826,138,2120,7,1,Stable
3435,1087,470,538,253,71,1317,0,1,At Risk
1343,440,285,360,98,46,127,5,4,Critical
12349,2865,1909,1989,1029,557,4791,1,3,Stable
2288,355,289,491,90,46,704,5,0,Stable
3008,869,482,779,240,112,584,1,3,Critical
2872,881,625,121,118,141,469,2,0,Stable
3962,608,462,140,238,99,738,6,1,Stable
1648,443,292,59,154,67,164,3,1,At Risk
2202,589,465,214,90,49,10,2,2,At Risk
2439,550,518,285,193,63,429,0,3,At Risk
1566,469,248,18,117,61,422,6,4,Stable
1838,433,312,137,148,80,625,11,4,Stable
3459,987,790,7,323,56,1123,11,1,Stable
1875,475,246,107,162,40,672,0,3,Stable
10302,2057,2564,1214,701,467,21,4,0,At Risk
2516,682,409,569,111,108,263,4,2,At Risk
2917,867,412,872,118,51,189,10,3,At Risk
2980,1027,299,178,102,82,320,6,3,Stable
1620,366,192,340,103,38,10,3,4,At Risk
2462,401,525,260,223,66,282,10,2,Stable
4746,1649,936,1209,214,154,1390,1,4,At Risk
2631,722,360,263,245,39,5,6,3,At Risk
1833,621,438,170,74,49,471,2,2,Stable
2797,477,630,448,258,107,616,10,4,Stable
2433,531,341,728,191,43,548,1,3,At Risk
1670,295,249,176,81,65,488,7,4,Stable
9168,2907,1170,556,903,154,3602,4,1,Stable
2951,962,579,616,180,138,603,4,2,At Risk
7550,1889,1549,2024,322,317,570,5,1,At Risk
4135,774,659,1029,322,190,1512,0,4,At Risk
2302,403,484,607,95,108,550,5,3,Stable
3639,973,905,36,336,76,1028,8,0,Stable
1388,348,266,33,131,14,406,8,3,Stable
2477,715,488,588,86,102,970,9,2,At Risk
1882,397,293,232,119,52,571,11,0,Stable
1637,377,166,221,56,75,292,0,4,At Risk
10357,1597,2517,1235,579,166,3433,0,1,Stable
2149,584,463,108,170,91,343,5,1,Stable
3910,917,798,1101,217,153,1062,3,3,At Risk
1803,602,188,395,171,62,165,6,2,Critical
10619,2955,2270,1028,492,238,2657,6,0,Stable
4146,952,831,736,176,187,830,10,2,Stable
8136,1649,1507,1288,616,397,2845,2,1,Stable
5952,1970,1151,851,559,212,338,4,4,Critical
2654,406,631,766,81,37,132,1,0,Critical
1936,416,195,261,167,57,112,3,0,At Risk
3917,1326,483,721,262,85,132,5,4,At Risk
6389,1794,1496,498,222,121,2471,8,0,Stable
3620,928,366,397,276,153,189,6,4,At Risk
6519,1243,1535,1121,387,282,926,3,1,Stable
1439,455,150,399,85,32,420,3,2,Stable
3435,655,745,1002,124,102,165,8,4,At Risk
8340,1665,1948,2024,648,246,626,10,1,Critical
1619,304,310,398,60,51,173,1,4,At Risk
2864,520,561,103,183,95,369,8,0,Stable
3466,1180,372,940,305,100,183,0,4,Critical
5109,1381,672,1454,419,173,250,4,3,Critical
2476,687,581,171,110,107,797,5,0,Stable
1752,597,391,266,153,50,128,9,3,Critical
3411,668,371,404,312,97,1123,5,2,Stable
12248,1851,2718,2740,1001,245,1363,11,3,At Risk
4868,1313,796,221,485,139,1368,3,3,Stable
2974,748,547,654,105,122,86,2,0,Critical
8023,1969,932,2040,282,367,2484,5,4,Stable
2456,398,392,88,181,39,606,3,3,Stable
2491,600,411,172,132,64,735,8,4,Stable
1896,393,380,70,115,83,125,4,3,Stable
2163,443,429,524,176,99,757,4,0,Stable
2173,422,396,14,202,21,293,8,4,Stable
1422,307,148,381,66,18,38,6,2,At Risk
1902,419,236,306,80,50,387,3,3,Stable
4152,879,515,268,342,62,109,0,2,At Risk
3350,1158,781,151,299,122,21,11,2,At Risk
1639,551,385,75,137,73,469,3,1,Stable
1260,333,278,101,49,52,16,1,1,At Risk
3040,1052,383,73,252,54,401,7,3,Stable
8344,2905,1885,1997,506,395,2318,1,4,Critical
2036,450,260,167,147,25,184,10,0,Stable
1619,387,296,7,94,39,645,6,3,Stable
1332,455,279,318,41,18,144,8,0,At Risk
1713,465,184,301,170,54,300,11,3,Stable
11849,2281,2247,113,501,168,2957,8,3,Stable
9278,2670,1277,627,715,379,217,3,4,At Risk
3674,702,641,355,167,145,495,10,2,Stable
1642,357,258,462,53,77,190,11,3,At Risk
3279,641,665,419,325,50,418,10,0,Stable
5765,1147,999,1195,175,199,2058,9,1,Stable
4053,611,588,944,296,123,920,8,4,Stable
11228,3661,2656,1763,918,247,3744,10,1,At Risk
3123,653,761,94,217,147,337,0,3,At Risk
3539,591,779,992,296,165,770,1,2,At Risk
5243,877,981,707,219,227,1150,4,1,Stable
11884,3104,2764,607,376,528,3576,4,0,Stable
3813,1329,725,878,257,98,647,2,3,Critical
5815,1040,711,1538,351,91,1058,10,1,At Risk
3128,531,320,687,261,130,234,5,2,At Risk
2115,502,441,283,72,50,109,10,4,At Risk
8586,2255,1827,2533,289,107,1007,5,0,At Risk
3907,816,933,117,209,161,1116,1,2,Stable
1517,319,339,66,129,22,405,6,4,Stable
3602,846,705,297,226,156,1265,2,4,Stable
3797,808,488,150,323,67,1415,10,4,Stable
9886,3292,1869,1327,738,237,769,2,0,At Risk
2835,449,468,506,170,99,801,9,2,Stable
4116,810,554,374,363,73,871,3,1,Stable
10958,3415,2409,99,839,288,2359,6,3,Stable
2179,690,266,366,129,30,815,5,1,Stable
2059,354,400,346,77,31,574,0,3,Stable
2636,908,505,688,146,109,367,5,1,At Risk
10764,3107,1566,333,367,409,3316,5,3,Stable
2653,542,436,295,169,86,561,9,2,Stable
1999,482,234,138,67,84,668,11,3,Stable
1597,334,165,49,134,73,207,7,1,Stable
3318,597,338,299,182,122,502,5,2,Stable
1678,349,211,405,121,79,136,2,4,Critical
1392,370,320,98,71,19,335,4,2,Stable
12027,3790,2145,3296,1103,278,3890,6,3,At Risk
4147,923,487,861,267,144,1009,2,4,At Risk
1929,423,454,55,158,39,737,1,2,Stable
2122,516,393,141,161,75,192,11,2,At Risk
2525,704,263,25,199,118,974,6,1,Stable
11252,3379,2412,390,744,228,680,9,2,At Risk
3052,657,521,660,304,108,371,1,0,At Risk
2396,640,431,110,88,104,530,5,0,Stable
1993,454,382,174,130,62,216,1,3,Stable
4133,1212,471,848,229,199,1087,5,2,Stable
4318,789,1045,827,238,85,660,3,4,Stable
4132,832,571,1111,342,98,577,6,3,At Risk
8220,1933,1588,823,250,92,2428,9,3,Stable
2779,911,634,305,158,47,780,11,1,At Risk
2814,744,421,80,165,46,780,9,2,Stable
3682,1263,714,313,240,144,1099,5,3,Stable
2650,452,658,672,152,88,993,8,0,Stable
6382,1544,1453,265,322,300,2386,3,4,Stable
3419,799,741,380,234,38,853,5,1,Stable
2729,736,452,690,255,98,244,3,4,Critical
2246,701,376,148,118,28,281,6,3,Stable
3732,1187,645,175,139,104,1168,6,2,Stable
3483,989,709,7,226,112,1295,11,2,Stable
11563,3218,1406,3184,1029,381,2676,2,2,At Risk
3686,1252,844,962,146,73,776,1,4,Critical
1567,355,160,88,140,51,361,2,1,Stable
3780,1196,474,892,302,135,517,6,0,At Risk
3976,1329,684,1160,274,191,505,4,1,At Risk
1969,488,271,180,120,80,257,8,4,Stable
2261,668,350,453,134,77,91,4,0,Critical
3655,823,547,225,295,45,470,4,2,Stable
3547,644,497,624,224,164,744,10,0,Stable
1366,365,214,134,103,22,234,4,4,Stable
2083,394,366,384,67,37,474,1,4,Stable
12404,2995,2126,2485,1188,473,1816,5,3,At Risk
4148,1346,919,893,255,154,1454,4,4,Critical
3584,599,524,971,336,150,595,5,0,At Risk
1741,271,247,57,129,55,267,0,3,Stable
1590,431,279,131,121,50,165,3,2,Stable
1434,310,153,73,62,32,59,6,0,Stable
8234,1923,961,1077,287,349,1162,10,3,Stable
10941,2528,2412,1415,494,357,3760,6,0,Stable
1432,239,249,143,96,54,145,10,3,Stable
2112,318,232,625,68,47,46,4,3,At Risk
12464,4109,2069,2845,1139,315,2176,1,4,Critical
2042,395,326,56,121,25,417,7,3,Stable
8693,2044,1190,1048,555,110,27,4,3,At Risk
1543,531,240,398,61,21,113,10,0,Critical
1975,622,253,98,177,40,708,7,2,Stable
3013,516,504,419,229,73,383,9,2,Stable
4065,1023,655,943,147,86,374,1,4,Critical
3405,1007,650,87,146,150,445,3,4,Stable
3248,940,783,796,108,65,338,1,2,At Risk
1337,403,170,44,97,27,164,8,3,Stable
2365,571,384,328,91,112,526,5,0,Stable
1445,267,266,414,92,32,272,2,2,At Risk
2255,547,410,344,179,31,413,3,0,At Risk
10103,2824,2012,2730,675,181,103,11,3,Critical
3251,883,455,895,204,86,709,0,4,At Risk
4039,662,788,520,148,131,780,6,4,Stable
3595,585,467,1007,237,169,1047,5,4,Stable
9835,3373,1168,264,344,206,2862,8,1,Stable
1395,251,313,144,43,58,497,5,4,Stable
3095,646,529,821,276,80,303,6,1,At Risk
5518,1674,880,879,524,132,673,4,1,At Risk
3962,918,948,851,119,44,385,6,0,Critical
3084,574,636,39,231,35,668,8,1,Stable
1314,319,264,262,60,24,391,6,4,Stable
2043,538,263,520,127,72,364,1,1,At Risk
1509,362,198,307,99,25,553,6,4,Stable
2957,987,509,845,192,126,252,11,3,Critical
1362,281,269,283,101,64,135,10,0,At Risk
1420,400,226,134,62,63,144,6,0,Stable
2444,421,267,186,201,68,412,9,3,Stable
2349,536,475,443,106,80,399,3,2,Stable
2062,614,445,59,191,28,766,7,3,Stable
2672,520,645,308,94,120,29,5,1,At Risk
3773,1010,608,492,132,148,341,5,2,At Risk
3585,647,497,647,129,136,486,6,3,Stable
3425,584,818,239,262,109,387,1,2,Stable
6120,1558,1268,1703,228,183,1574,3,2,Stable
3990,1137,437,1127,172,109,572,5,4,At Risk
7411,1279,1385,1328,391,148,2179,4,3,Stable
2270,757,236,457,173,54,648,11,2,At Risk
3535,689,473,325,259,153,906,0,1,Stable
1384,240,153,106,126,53,475,3,2,Stable
1885,359,246,152,75,60,455,0,4,Stable
9177,1687,1592,1118,381,316,3632,11,2,Stable
1721,289,249,479,80,40,65,0,0,Critical
3721,1151,421,344,190,97,1206,5,3,Stable
2256,561,388,195,179,95,252,9,2,Stable
2248,511,463,219,148,101,576,4,0,Stable
5476,1862,591,385,369,55,2041,9,1,Stable
2028,454,471,442,101,58,400,5,1,At Risk
2608,478,516,315,213,33,405,7,2,Stable
6357,1301,1131,892,396,174,2315,11,0,Stable
2427,480,386,520,152,40,699,0,0,At Risk
3694,922,587,720,172,149,256,4,2,At Risk
4204,875,632,510,211,148,1561,5,0,Stable
1886,477,221,13,126,84,548,4,0,Stable
1635,464,182,437,56,64,385,1,3,At Risk
1988,607,290,68,190,97,57,3,4,At Risk
6298,1839,1259,1592,428,139,1624,4,4,At Risk
3637,695,521,816,271,72,1126,0,4,At Risk
3372,583,748,843,107,167,718,10,2,Stable
10052,2598,1578,2696,331,476,3241,8,0,Stable
2407,456,468,33,234,80,81,6,2,Stable
3555,593,585,466,145,93,233,9,4,At Risk
1254,320,219,21,51,30,54,2,4,Stable
2306,496,317,219,211,46,494,11,3,Stable
3141,946,556,132,269,115,1106,9,0,Stable
10088,2147,1176,1750,765,309,870,6,1,At Risk
1480,511,233,273,116,17,556,8,4,Stable
1399,422,233,238,44,47,64,11,4,At Risk
5060,817,1040,339,393,81,1185,4,2,Stable
1723,433,275,126,79,64,139,10,3,Stable
3705,972,740,342,169,114,1124,0,3,Stable
2324,671,293,108,140,68,242,10,4,Stable
7445,1857,772,965,443,99,2935,0,3,Stable
2377,586,418,502,159,47,858,2,3,At Risk
3076,687,526,741,249,34,243,1,0,Critical
1546,315,309,10,143,65,604,8,1,Stable
